ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YEL073C	0.002244	1579	10004388944	439.685	439.801	-0.116	0.0006143	0.03574	
YOR122C	0.4667	1763	10000992732	520.329	515.215	5.114	-0.05118	0.02961	
YEL075C	0.009159	1747	10000578469	503.741	502.240	1.502	-0.01171	0.04302	
YMR271C	0.007256	3579	10004127897	952.412	958.490	-6.078	-0.007731	0.1548	
YEL076C	0.005503	3088	10000273125	908.940	907.235	1.705	-0.008438	0.1536	
YJL133W	0.04485	4622	10005218994	1342.188	1330.872	11.317	-0.085	0.2553	
YDL100C	0.3928	3936	10002651619	1532.811	1473.966	58.845	-0.2747	0.2849	
YEL076CA	0.002037	3317	10003417679	911.077	904.180	6.897	-0.03517	0.1553	
YGR165W	0.04381	5078	10000223378	1505.263	1476.240	29.023	-0.1192	0.3715	
YMR272C	0.2273	4714	10002021203	1654.585	1612.034	42.551	-0.2333	0.3024	
YOR123C	0.1061	5296	10001606074	2028.290	1981.783	46.507	-0.3069	0.5251	
YJL134W	0.1047	5754	10002022774	1795.610	1749.277	46.333	-0.2149	0.5035	
YJL136C	4.972	744	10004007238	357.014	352.538	4.477	-0.07339	0.01331	
YDL101C	0.02531	7081	10000121688	2304.455	2261.993	42.462	-0.1483	1.039	
YGR166W	0.01057	7952	10000342266	2532.311	2506.412	25.899	-0.1143	1.291	
YJL137C	0.007647	5189	10001734665	1650.855	1664.061	-13.207	-0.00777	0.6137	
YGR167W	0.1326	2937	10011987181	976.421	967.079	9.342	-0.09696	0.1521	
YJL138C	1.281	3120	10000242886	1725.907	1637.673	88.233	-0.3546	0.2559	
YGR168C	0.006024	5365	10000499486	1626.414	1629.066	-2.652	-0.03789	0.4775	
YJL139C	0.01367	5830	10006174293	1873.602	1867.970	5.632	-0.02482	0.5913	
YJL140W	0.09593	3012	10002175558	931.534	917.750	13.784	-0.1063	0.1631	
YLR115W	0.01292	12495	10000927207	4178.257	4067.826	110.431	-0.2024	2.936	
YGR169C	0.01083	5821	10001401358	1759.442	1747.248	12.194	-0.08669	0.4965	
YLR116W	0.008987	7421	10000118105	2141.866	2130.671	11.194	-0.03931	0.8932	
YMR273C	0.01901	12506	10000106959	4555.151	4285.272	269.879	-0.5003	3.242	
YMR274C	0.04166	4660	10003007656	1359.717	1351.211	8.506	-0.05996	0.4703	
YAL001C	0.008886	16566	10000310826	6046.584	5768.030	278.554	-0.4583	6.29	
YLR117C	0.005791	9232	10002229339	3212.078	3154.894	57.184	-0.1815	2.023	
YJL141C	0.009122	11546	10000211998	3894.341	3803.005	91.337	-0.232	2.817	
YJL143W	0.2356	2461	10003840037	657.481	650.790	6.692	-0.04455	0.05139	
YLR118C	0.0653	3304	10011496824	958.848	951.178	7.671	-0.00401	0.1315	
YJL144W	0.01607	1447	10024446488	429.649	427.996	1.654	-0.001066	0.02473	
YLR119W	0.1027	2743	10003529396	898.878	882.556	16.322	-0.0998	0.1272	
YJL145W	0.1267	3698	10005082388	1258.345	1224.557	33.788	-0.1629	0.1642	
YDL102W	0.03603	14586	10000287893	5584.659	5167.852	416.806	-0.6259	3.687	
YJL146W	0.004694	6593	10001877174	2086.476	2066.707	19.769	-0.0811	0.7363	
YJL147C	0.002578	5649	10000525564	1678.124	1666.082	12.042	-0.008706	0.5664	
YEL077C	0.01678	17906	10000036573	6752.860	6393.881	358.979	-0.6659	6.774	
YLR120C	0.1191	7906	10000664866	2579.680	2459.099	120.581	-0.3326	0.7084	
YOR124C	0.03545	16501	10000288037	6787.372	6043.024	744.348	-0.8581	4.97	
YDL103C	0.1092	6325	10001628899	2116.898	2042.922	73.976	-0.2437	0.5267	
YJL148W	0.213	2862	10001068381	979.797	963.017	16.780	-0.108	0.08684	
YGR170W	0.003827	16016	10000051765	5891.970	5720.416	171.554	-0.182	5.47	
YOR125C	0.02877	3484	10001647211	983.016	978.962	4.053	-0.04001	0.1525	
YOR126C	0.04236	3306	10001536669	998.799	991.645	7.154	-0.07402	0.1374	
YDL104C	0.006777	6240	10000597161	1774.363	1775.132	-0.770	-0.05168	0.6546	
YMR275C	0.006089	14299	10000016368	4889.797	4734.055	155.741	-0.2631	4.383	
YLR121C	0.02631	7964	10000991603	2286.262	2244.628	41.634	-0.1467	1.004	
YDL105W	0.008953	5385	10000514464	1752.100	1758.166	-6.066	-0.03515	0.6214	
YLR125W	0.002351	1732	10007859217	563.797	560.558	3.240	-0.0104	0.04515	
YGR171C	0.01655	8005	10000710380	2634.639	2593.652	40.986	-0.09433	1.3	
YMR276W	0.3418	4883	10002278008	1644.260	1556.165	88.094	-0.2641	0.2615	
YLR126C	0.04394	3414	10003145205	1070.481	1058.190	12.291	-0.06601	0.2418	
YGR172C	0.1301	3641	10000021088	1056.794	1031.483	25.311	-0.1197	0.1831	
YJL149W	0.01309	9127	10000954630	3043.200	3003.954	39.247	-0.1766	1.618	
YJL151C	0.4786	1781	10006193393	552.181	542.727	9.453	-0.08737	0.03862	
YER001W	0.1262	8860	10000034090	3578.996	3337.548	241.448	-0.5144	1.251	
YER002W	0.2033	2801	10000046504	970.002	957.678	12.324	-0.09995	0.09205	
YGR173W	0.1094	5225	10004225487	1595.868	1553.860	42.008	-0.2046	0.3247	
YDL106C	0.01195	7524	10003014210	2529.645	2471.734	57.912	-0.165	1.121	
YGR174C	0.04971	2333	10006784647	710.862	704.797	6.065	-0.05569	0.08849	
YDL107W	0.003126	4596	10000181767	1511.143	1506.250	4.894	-0.02237	0.3844	
YJL153C	0.003494	7862	10007309772	2389.298	2386.068	3.229	-0.05191	1.057	
YER003C	0.2356	5116	10000144361	1888.084	1800.165	87.919	-0.297	0.3432	
YDL108W	0.03202	4375	10001150683	1315.822	1295.677	20.146	-0.09872	0.2722	
YGR175C	0.5319	4982	10000463831	2215.167	2083.383	131.784	-0.3876	0.3959	
YER004W	0.1905	3491	10000315260	978.968	956.641	22.328	-0.1289	0.1377	
YMR277W	0.01793	9879	10000187541	3408.250	3331.648	76.602	-0.3043	2.111	
YLR127C	0.001029	11640	10000695314	4180.922	4104.050	76.872	-0.08457	4.097	
YAL002W	0.003231	18358	10000388185	6856.015	6574.876	281.139	-0.3433	9.198	
YAL003W	4.073	1356	10003597354	857.491	839.028	18.463	-0.1463	0.04799	
YLR128W	0.01315	3581	10001206006	1149.920	1130.428	19.492	-0.07504	0.2427	
YOR127W	0.006863	14505	10000062480	5124.541	4974.627	149.914	-0.2673	5.393	
YGR177C	0.02512	7355	10000164474	2396.127	2369.363	26.764	-0.08792	0.9745	
YDL109C	0.007617	9451	10000491345	2988.476	2928.108	60.368	-0.1548	1.529	
YDL110C	0.04932	2013	10003854021	617.591	615.586	2.006	-0.05219	0.04068	
YER005W	0.03002	8605	10001318951	2881.596	2790.706	90.890	-0.2854	1.212	
YMR278W	0.04071	8497	10000219656	2802.394	2766.680	35.715	-0.2033	1.142	
YDL111C	0.1055	3942	10002656938	1125.544	1111.015	14.529	-0.08414	0.1927	
YAL005C	1.19	4371	10002601733	2947.534	2702.202	245.332	-0.5545	0.579	
YAL007C	0.09272	3171	10001057802	906.309	895.906	10.404	-0.05595	0.1296	
YAL008W	0.07363	2970	10002373674	830.530	827.273	3.257	-0.02018	0.1308	
YAL009W	0.02451	3762	10000594014	1101.116	1091.400	9.716	-0.06675	0.186	
YOR128C	0.0782	8106	10000795990	2577.945	2487.629	90.315	-0.3254	0.9075	
YER006W	0.2352	6293	10001508301	2337.996	2208.030	129.966	-0.3464	0.491	
YER007CA	0.2938	2467	10004485467	754.754	743.364	11.390	-0.102	0.06541	
YMR279C	0.001757	8298	10001939867	2437.409	2438.535	-1.126	-0.002621	1.343	
YGR178C	0.1377	8553	10001871142	3372.693	3149.611	223.082	-0.5203	0.9947	
YJL154C	0.02344	12845	10000619359	4623.642	4413.964	209.677	-0.4985	3.196	
YAL010C	0.008606	7143	10003130383	2217.175	2191.900	25.276	-0.04445	1.056	
YGR179C	0.01039	5406	10001284517	1774.818	1783.487	-8.668	-0.04006	0.7108	
YER007W	0.007698	7109	10000831354	2302.421	2310.204	-7.783	-0.04053	0.928	
YJL155C	0.0224	6189	10000910256	2002.104	1978.869	23.235	-0.09963	0.7581	
YGR180C	0.7238	3292	10002448125	1483.730	1428.242	55.488	-0.2508	0.1819	
YGR181W	0.3003	1494	10004341109	430.949	427.836	3.112	-0.05202	0.01822	
YGR183C	0.161	911	10012888381	268.647	269.316	-0.669	0.004597	0.007889	
YLR129W	0.06365	11999	10000231886	4738.930	4256.842	482.088	-0.676	2.661	
YAL011W	0.01638	8569	10000383823	2854.998	2805.998	49.000	-0.1828	1.26	
YAL012W	1.262	3383	10003602461	1722.752	1630.385	92.367	-0.3005	0.1992	
YLR130C	0.0384	6275	10002423784	1855.788	1830.627	25.161	-0.07324	0.5342	
YOR129C	0.00769	12593	10000915842	4314.788	4297.562	17.226	-0.1825	4.242	
YJL156C	0.01035	10026	10002117862	3214.333	3129.507	84.826	-0.1795	1.737	
YAL013W	0.06334	5282	10003703846	1838.117	1794.493	43.624	-0.2121	0.4221	
YOR130C	0.05044	4390	10006456110	1248.748	1231.471	17.278	-0.08661	0.1867	
YOR131C	0.1107	2963	10002653959	917.570	904.987	12.583	-0.09028	0.1021	
YAL014C	0.02744	3915	10004263497	1083.206	1080.405	2.801	-0.04354	0.2837	
YAL015C	0.02572	5846	10000889915	1744.898	1719.092	25.806	-0.1153	0.5357	
YOR132W	0.05619	7540	10000528943	2512.426	2414.828	97.598	-0.2509	0.9095	
YLR131C	0.005079	11133	10000406323	3659.264	3635.499	23.765	-0.1778	2.825	
YLR132C	0.01932	4100	10001229603	1246.892	1236.537	10.355	-0.01234	0.3277	
YJL157C	0.1406	9201	10001315751	4062.045	3648.375	413.670	-0.6957	1.882	
YOR133W	2.678	2962	10001869640	4095.999	3598.293	497.706	-0.7642	1.015	
