ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YAL001C	0.008886	23338	20000102660	6085.655	5922.098	163.557	-0.3035	7.067	
YAL002W	0.003231	26306	20001571211	6969.979	6769.186	200.793	-0.3106	11.36	
YAL003W	4.073	1961	20021386118	865.426	841.510	23.916	-0.1502	0.05523	
YAL005C	1.19	5796	20001113625	2962.237	2707.481	254.756	-0.5526	0.5807	
YAL007C	0.09272	4422	20002859840	904.932	895.790	9.142	-0.07831	0.1366	
YAL008W	0.07363	4225	20003913965	834.142	823.684	10.458	-0.07567	0.127	
YAL009W	0.02451	5344	20003838811	1112.356	1098.723	13.632	-0.05116	0.2094	
YAL010C	0.008606	9895	20000256381	2208.902	2196.676	12.226	-0.06223	1.087	
YAL011W	0.01638	12259	20002473268	2911.882	2835.005	76.876	-0.1284	1.392	
YAL012W	1.262	4695	20000690173	1715.759	1634.698	81.061	-0.3138	0.2196	
YAL013W	0.06334	7654	20000932256	1861.868	1811.940	49.928	-0.1792	0.5693	
YAL014C	0.02744	5497	20000068357	1091.852	1088.208	3.644	-0.02556	0.3162	
YAL015C	0.02572	8151	20002190617	1759.842	1739.606	20.236	-0.07515	0.608	
YAL016W	0.2432	10230	20000455754	2973.975	2723.320	250.656	-0.4782	0.9136	
YAL017W	0.009617	27720	20000306117	7414.813	7028.998	385.815	-0.4503	8.972	
YAL018C	0.007849	6931	20008393029	1399.199	1407.593	-8.394	0.024	0.4792	
YAL019W	0.03881	20808	20002325697	5939.637	5320.139	619.499	-0.7216	4.439	
YAL020C	0.0247	7106	20001352742	1435.424	1432.741	2.683	-0.06008	0.3582	
YAL021C	0.0777	14642	20001278994	4069.963	3738.895	331.068	-0.5979	1.941	
YAL022C	0.09222	9923	20001329138	2321.402	2228.939	92.463	-0.2886	0.6786	
YAL023C	0.3228	10535	20000434697	3668.352	3277.533	390.819	-0.6428	1.124	
YAL024C	0.002008	28700	20000806822	8318.131	7942.185	375.946	-0.2569	15.24	
YAL025C	0.08824	5441	20000647190	1310.009	1293.972	16.037	-0.1093	0.1934	
YAL026C	0.003022	27909	20000212088	7339.693	7294.363	45.329	-0.2062	10.87	
YAL027W	0.02962	5545	20006589170	1119.012	1108.318	10.694	-0.03428	0.2554	
YAL028W	0.00626	10932	20000027646	2380.598	2392.034	-11.435	-0.03536	1.421	
YAL029C	0.0107	28775	20001231395	8641.018	7817.696	823.322	-0.6897	13.04	
YAL030W	0.2404	2461	20000045864	483.456	481.057	2.399	-0.04967	0.03804	
YAL031C	0.01527	16175	20000969961	3731.223	3570.483	160.740	-0.2152	2.734	
YAL032C	0.005799	7989	20001621758	1660.442	1653.483	6.958	-0.0063	0.431	
YAL033W	0.07453	3542	20001242119	721.517	720.344	1.172	-0.01919	0.0727	
YAL034C	0.001526	8944	20003629717	1832.063	1828.811	3.252	0.01326	0.7241	
YAL034WA	0.006985	5766	20001392845	1237.709	1241.099	-3.389	-0.02762	0.4014	
YAL035W	0.2857	12156	20002487001	5117.503	4396.221	721.282	-0.9703	2.118	
YAL036C	0.3492	6243	20000316754	1624.243	1544.444	79.799	-0.288	0.3096	
YAL037W	0.008014	5481	20002603746	1142.389	1143.616	-1.227	0.01466	0.3253	
YAL038W	14.56	1374	20019711566	2234.123	2081.188	152.935	-0.4423	0.3452	
YAL039C	0.2378	4748	20000591337	1144.106	1123.218	20.888	-0.1666	0.1931	
YAL040C	0.01916	12526	20000616962	2683.022	2613.428	69.594	-0.1609	1.588	
YAL041W	0.01412	17092	20000359481	4193.801	4005.023	188.778	-0.3705	3.136	
YAL042W	0.4625	6098	20000379198	1821.875	1733.074	88.801	-0.3324	0.2988	
YAL043C	0.02276	16606	20000891577	3838.860	3645.061	193.799	-0.3562	2.849	
YAL044C	1.007	2652	20011336368	713.179	695.521	17.658	-0.1316	0.04885	
YAL046C	0.06163	2522	20012995026	491.550	485.704	5.847	-0.05247	0.04696	
YAL047C	0.006219	12060	20001324289	2956.337	2867.678	88.659	-0.1188	2.419	
YAL048C	0.00264	13756	20000335724	3134.013	3066.850	67.163	-0.08893	2.128	
YAL049C	0.2205	4789	20003098431	1031.232	1018.914	12.318	-0.114	0.1253	
YAL051W	0.01629	20573	20000326237	5321.231	5126.885	194.346	-0.422	5.549	
YAL053W	0.148	13439	20000235567	3811.318	3418.650	392.668	-0.5966	1.382	
YAL054C	0.003736	15957	20000354346	3359.366	3341.293	18.073	-0.004407	2.215	
YAL055W	0.08669	3709	20008574617	752.749	749.009	3.740	-0.04625	0.09331	
YAL056W	0.0126	17720	20000332529	4321.639	4155.331	166.309	-0.2669	2.991	
YAL058W	0.05662	10141	20000207786	2268.125	2188.882	79.243	-0.2314	0.8092	
YAL059W	0.1477	4303	20007156460	896.296	879.959	16.337	-0.09979	0.1113	
YAL060W	0.1071	7615	20001182109	1656.430	1619.426	37.004	-0.1801	0.3404	
YAL061W	0.01077	8857	20001646645	1826.765	1834.706	-7.941	-0.02976	0.6086	
YAL062W	0.02865	9777	20002172808	2027.371	1984.365	43.006	-0.1556	0.6121	
YAL063C	0.000671	31652	20000623303	7564.630	7604.093	-39.463	0.1348	16.54	
YAL064CA	0.004815	2787	20002010990	524.945	520.640	4.304	-0.01336	0.04249	
YAL064W	0.005307	2205	20023615368	449.250	447.048	2.202	-0.03293	0.04518	
YAL064WB	0.005464	2921	20002778801	522.212	523.465	-1.253	-0.001451	0.0432	
YAL065C	0.002324	3008	20009534915	533.964	529.006	4.957	-0.03559	0.04365	
YAL067C	0.003482	12098	20002569279	2689.615	2722.035	-32.420	0.03798	1.619	
YAL068C	0.05321	2891	20007320555	496.701	495.235	1.466	-0.01723	0.04526	
YAR002CA	0.3306	3904	20001478892	926.879	905.247	21.633	-0.1229	0.1067	
YAR002W	0.08884	10497	20005657040	2431.394	2331.149	100.244	-0.3395	0.7958	
YAR003W	0.01736	8560	20003721076	1888.335	1875.620	12.715	-0.04255	0.6672	
YAR007C	0.07204	11614	20001751216	2851.840	2724.045	127.795	-0.3298	1.049	
YAR008W	0.06365	5490	20005100068	1181.016	1158.752	22.264	-0.07934	0.2105	
YAR014C	0.01781	13614	20000829809	3356.210	3228.571	127.639	-0.2103	1.999	
YAR015W	0.2413	5654	20000502542	1300.241	1277.244	22.997	-0.1994	0.2347	
YAR018C	0.02681	8387	20001966065	1957.442	1906.522	50.920	-0.1181	0.7512	
YAR019C	0.004468	20325	20000453727	4882.445	4871.551	10.894	-0.03475	5.616	
YAR020C	0.9946	1277	20027787288	226.659	225.587	1.073	-0.03234	0.00714	
YAR023C	0.005318	3636	20008803256	749.188	747.322	1.866	-0.004948	0.09045	
YAR027W	0.05885	4794	20002022946	997.464	986.897	10.567	-0.06123	0.1519	
YAR028W	0.02089	4648	20001043849	993.884	983.967	9.916	-0.03884	0.1811	
YAR029W	0.002071	1281	20012436612	306.165	305.795	0.370	-0.003517	0.02428	
YAR031W	0.002175	5660	20000267498	1277.691	1272.540	5.151	-0.03752	0.2946	
YAR033W	0.0186	4929	20002154254	993.042	992.630	0.412	0.01204	0.2275	
YAR035W	0.01023	14999	20000207251	3253.965	3216.578	37.387	-0.0703	2.183	
YAR042W	0.01532	23306	20000612012	6291.772	5890.457	401.315	-0.4472	6.103	
