ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YAL001C	0.008886	23430	20000271935	6188.709	5892.243	296.466	-0.3167	7.687	
YAL002W	0.003231	26144	20002212453	7006.339	6778.513	227.826	-0.2164	11.61	
YAL003W	4.073	1789	20012667181	866.970	841.524	25.446	-0.1435	0.04781	
YAL005C	1.19	5844	20000065612	2992.722	2705.321	287.402	-0.5643	0.5915	
YAL007C	0.09272	4456	20001340497	914.561	897.904	16.657	-0.06538	0.1302	
YAL008W	0.07363	4234	20014289431	833.964	823.367	10.596	-0.07992	0.1213	
YAL009W	0.02451	5347	20000668089	1109.410	1103.747	5.663	-0.001837	0.1827	
YAL010C	0.008606	10297	20001659611	2221.924	2204.304	17.620	-0.01625	1.099	
YAL011W	0.01638	12282	20001235439	2889.913	2862.381	27.532	-0.1211	1.519	
YAL012W	1.262	4844	20001202930	1733.598	1631.958	101.640	-0.3158	0.2194	
YAL013W	0.06334	7517	20000380638	1864.362	1823.575	40.787	-0.1071	0.5216	
YAL014C	0.02744	5383	20007605959	1099.942	1082.859	17.083	-0.07316	0.3219	
YAL015C	0.02572	8284	20003591505	1753.469	1735.239	18.230	-0.08305	0.6	
YAL016W	0.2432	10469	20006943014	2990.513	2710.998	279.514	-0.5458	1.015	
