ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YER103W	0.1615	8013	10000801303	2957.740	2751.864	205.875	-0.4757	0.751	
YER171W	0.01781	11057	10000017811	3686.832	3580.053	106.778	-0.3276	2.238	
YER104W	0.00332	2758	10005880087	874.882	874.229	0.652	-0.0187	0.1643	
YJR106W	0.001551	11334	10000094239	3463.406	3445.850	17.557	-0.03099	3.072	
YOR217W	0.02608	12559	10000038264	4164.145	3994.669	169.476	-0.3552	2.473	
YNL048W	0.0822	7278	10000199292	2457.865	2359.525	98.340	-0.314	0.7413	
YJR107W	0.02819	4706	10002141498	1403.785	1399.937	3.848	-0.0495	0.2473	
YJR108W	0.002386	1654	10000650547	505.876	505.710	0.166	-0.01124	0.03535	
YNL127W	0.004459	13212	10001973191	4731.726	4677.629	54.097	-0.1785	5.299	
YGR261C	0.06512	10861	10001015854	3871.764	3605.153	266.610	-0.5643	1.822	
YDR060W	0.07877	11964	10000074401	5103.463	4642.408	461.055	-0.7688	2.753	
YJR030C	0.00804	10992	10002080781	3601.407	3477.716	123.691	-0.159	2.789	
YGR262C	0.07484	3844	10005049319	1103.013	1096.133	6.879	-0.08705	0.2032	
YNL128W	0.002764	6226	10000675298	1916.076	1911.011	5.065	-0.02449	0.7488	
YNL129W	0.0513	3304	10002584561	1008.987	1000.492	8.495	-0.0582	0.1412	
YOR329C	0.01696	12641	10000356507	4333.062	4152.832	180.230	-0.4425	4.073	
YGR263C	0.03594	5767	10000492732	1857.772	1828.502	29.271	-0.1501	0.4856	
YDR061W	0.03736	7620	10000489394	2433.269	2388.603	44.666	-0.1228	0.9297	
YBL047C	0.0317	18670	10000624336	7620.619	6657.219	963.400	-1.073	6.377	
YBL049W	0.003886	1907	10008274859	569.836	570.433	-0.597	-0.0106	0.05062	
YNL131W	0.1762	2163	10003408124	626.182	625.632	0.550	-0.05786	0.07296	
YBL050W	0.1331	3724	10000958129	1245.820	1219.124	26.696	-0.1339	0.2048	
YAR042W	0.03061	15855	10000813358	6098.603	5597.286	501.317	-0.7814	4.449	
YDR062W	0.2424	6682	10000708625	2553.589	2388.878	164.711	-0.4525	0.6768	
YOR219C	0.00505	13156	10000467410	4574.887	4487.024	87.863	-0.1275	3.706	
YDR063W	0.1252	2107	10011519692	612.915	612.695	0.220	-0.06384	0.05959	
YDR064W	1.145	1763	10024351804	627.675	614.606	13.069	-0.1163	0.03634	
YOR220W	0.05488	3831	10000248644	1125.780	1117.297	8.484	-0.08145	0.2327	
YNL049C	0.01547	12902	10000201004	4278.718	4123.820	154.898	-0.3503	3.121	
YDR065W	0.00122	5039	10000052553	1578.569	1574.327	4.242	-0.05746	0.5168	
YDR066C	0.01733	2732	10002462764	824.011	818.077	5.934	-0.01807	0.1256	
YDL195W	0.2427	12695	10000028439	6811.058	5730.823	1080.235	-1.257	3.676	
YGR264C	0.1857	8530	10000786076	3534.332	3247.910	286.422	-0.5866	1.114	
YOR221C	0.05324	5374	10001620818	1566.979	1529.732	37.247	-0.1563	0.3614	
YBL051C	0.03351	9184	10000317803	3108.670	2977.863	130.807	-0.343	1.704	
YDR067C	0.01481	3227	10001306388	938.079	938.196	-0.116	-0.02801	0.1457	
YNL050C	0.04585	3513	10001319932	1152.791	1133.803	18.989	-0.1224	0.215	
YDR068W	0.06439	3699	10005673871	1317.526	1310.464	7.062	-0.02566	0.2329	
YOR222W	0.09736	4345	10001171657	1319.499	1293.099	26.400	-0.109	0.2447	
YOR223W	0.0165	4248	10001146719	1250.871	1242.868	8.003	-0.02899	0.2544	
YHL035C	0.008817	23047	10000333001	9360.646	8393.255	967.391	-0.8406	12.07	
YOR224C	0.5579	1870	10000201322	603.755	595.776	7.980	-0.0875	0.03261	
YLR342W	0.1636	16389	10002042419	11638.058	8944.560	2693.498	-1.879	7.826	
YOR226C	0.2776	2332	10002815919	648.672	641.450	7.222	-0.05922	0.05314	
YNL051W	0.01392	5680	10000946386	1770.406	1749.397	21.009	-0.09622	0.6361	
YDL197C	0.03074	7506	10000588212	2407.565	2310.670	96.894	-0.2481	1.14	
YNL052W	0.2262	2184	10010457381	636.862	628.987	7.875	-0.06773	0.05445	
YDL198C	0.1939	4236	10000088087	1282.552	1251.257	31.295	-0.1843	0.2288	
YLR247C	0.01228	20777	10000317477	8816.808	8193.966	622.842	-0.8163	12.25	
YGR266W	0.08375	8673	10000443403	3265.214	3060.938	204.276	-0.5161	1.335	
YGR267C	0.1406	3347	10018794673	1025.173	1014.296	10.878	-0.1097	0.1658	
YNL053W	0.0197	7419	10001696175	2187.011	2172.548	14.463	-0.05272	0.9046	
YLR343W	0.0027	7801	10001552670	2508.660	2468.608	40.052	-0.1115	1.014	
YJR109C	0.05426	15389	10000838818	5752.463	5189.846	562.616	-0.7084	3.283	
YBL052C	0.005879	11033	10001074519	3946.972	3956.067	-9.096	-0.1058	2.85	
YGR268C	0.02709	3170	10000027049	835.099	828.923	6.176	-0.03611	0.122	
YLR344W	0.4233	1884	10000330472	525.518	519.197	6.321	-0.07753	0.03218	
YHL036W	0.007635	8326	10001983490	2461.597	2430.804	30.793	-0.08605	0.8973	
YNL132W	0.06657	13628	10000819612	5363.007	4832.956	530.051	-0.7485	2.989	
YLR248W	0.07734	7968	10000372638	2810.554	2658.444	152.110	-0.373	1.007	
YNL133C	0.01314	2364	10007875310	718.757	720.560	-1.803	-0.02446	0.13	
YDL199C	0.00151	10385	10000828250	3202.069	3204.636	-2.567	-0.04413	2.254	
YBL054W	0.04812	7517	10001594291	2358.889	2291.033	67.856	-0.2602	0.8905	
YDL200C	0.08646	2611	10007811263	783.054	779.103	3.951	-0.04462	0.08603	
YJR110W	0.002563	9507	10001833782	3199.527	3186.772	12.755	-0.02731	2.004	
YLR345W	0.01013	7197	10001457476	2312.509	2249.773	62.736	-0.1161	0.9307	
YDR069C	0.003576	12970	10001658619	4509.787	4456.374	53.413	-0.1938	3.847	
YLR346C	0.04433	1383	10015672068	414.926	412.769	2.157	-0.03962	0.02232	
YDR070C	0.01168	1334	10005094806	379.954	381.474	-1.520	-0.01008	0.02086	
YDR071C	0.3211	2373	10011793023	791.425	786.169	5.256	-0.0963	0.06585	
YOR330C	0.005096	18105	10000254613	6564.712	6623.306	-58.594	-0.07204	9.095	
YDL201W	0.06669	3894	10006671281	1214.719	1205.172	9.547	-0.08498	0.1942	
YNL134C	0.6426	4220	10003086472	1627.764	1560.317	67.447	-0.2713	0.213	
YNL135C	1.689	1409	10010772282	470.320	463.057	7.263	-0.09927	0.02828	
YJR111C	0.03838	4189	10000293048	1199.701	1190.756	8.945	-0.1134	0.2472	
YHL038C	0.01999	8742	10002842070	2935.511	2817.750	117.760	-0.208	1.29	
YOR332W	0.6828	2519	10006672037	978.500	956.607	21.893	-0.1902	0.1216	
YJR112W	0.04269	2604	10017402810	848.415	837.542	10.872	-0.05338	0.1376	
YDL202W	0.02203	3675	10002446294	1048.351	1051.936	-3.585	-0.02991	0.232	
YBL055C	0.09544	5527	10004730892	1839.249	1779.003	60.247	-0.2031	0.3896	
YJR113C	0.1175	3641	10001910020	1045.523	1030.788	14.735	-0.1183	0.1629	
YLR249W	2.008	3668	10004947557	5255.469	4538.735	716.734	-0.9352	1.529	
YJR115W	0.01363	2534	10001570654	699.585	703.231	-3.646	-0.008261	0.09767	
YER105C	0.0152	19784	10001714850	7762.780	6989.505	773.276	-0.6953	7.54	
YLR250W	0.05979	3080	10007695871	988.851	970.308	18.544	-0.1099	0.115	
YNL136W	0.01528	5452	10003238342	1851.300	1851.103	0.197	-0.08212	0.5712	
YLR251W	0.04693	2858	10002829270	825.002	817.888	7.114	-0.05147	0.1047	
YJR116W	0.04686	4081	10001310833	1185.704	1175.326	10.378	-0.07039	0.2027	
YER106W	0.00272	3865	10000307147	1281.814	1301.632	-19.818	0.06788	0.4133	
YOR334W	0.00361	6723	10000077946	2080.840	2102.594	-21.754	0.06564	1.053	
YDR072C	0.1466	6930	10001331800	2354.143	2256.171	97.972	-0.3655	0.712	
YBL056W	0.07293	6209	10000254577	2055.022	2001.651	53.371	-0.221	0.4575	
YDR073W	0.002189	2498	10012157440	712.366	708.543	3.823	0.02446	0.1417	
YBL057C	0.0887	3154	10001712719	905.058	886.870	18.187	-0.07784	0.1018	
YJR031C	0.02145	19197	10000488061	7830.466	6921.799	908.668	-0.9578	7.608	
YHL039W	0.04478	8109	10000517450	2660.568	2577.728	82.840	-0.2045	0.9749	
YER107C	0.09746	5085	10000364724	1570.504	1545.464	25.039	-0.1831	0.3301	
YDL203C	0.00715	9128	10000096952	2831.282	2822.436	8.846	-0.08831	1.328	
YJR117W	0.2484	5588	10002365712	2004.790	1907.472	97.318	-0.344	0.4504	
YNL137C	0.05542	6657	10000360793	2174.168	2092.208	81.961	-0.255	0.6388	
YJR118C	0.03911	2727	10001155604	847.234	844.441	2.793	-0.03441	0.09127	
YLR253W	0.00924	8081	10000896830	2586.723	2546.216	40.507	-0.1201	1.186	
YBL058W	0.2961	4927	10000241850	1880.729	1769.788	110.941	-0.3576	0.3736	
YJR032W	0.08662	5169	10002547551	1689.695	1672.414	17.281	-0.141	0.3784	
YBL059W	0.01267	2667	10005025507	811.066	806.312	4.754	-0.02617	0.1258	
YLR254C	0.05213	2608	10008049947	789.263	790.330	-1.068	-0.02907	0.1437	
YDL204W	0.01395	5879	10000198737	1707.018	1699.611	7.406	-0.09071	0.5021	
YDL205C	0.01483	4870	10002109009	1395.017	1408.663	-13.646	0.008985	0.3276	
YLR347C	0.06056	11920	10001421298	4212.360	3871.819	340.541	-0.5218	2.003	
YNL138W	0.2583	6210	10000039093	2335.459	2225.178	110.281	-0.4074	0.5067	
YOR227W	0.00929	18188	10000321357	6734.868	6322.294	412.574	-0.4272	7.666	
YHL040C	0.0527	9307	10001483208	2877.021	2760.049	116.972	-0.3289	1.164	
YLR348C	0.06359	4569	10000722388	1271.301	1252.665	18.635	-0.09948	0.178	
YHL042W	0.004685	2022	10008120748	623.121	621.669	1.452	-0.02868	0.09885	
YLR350W	0.3996	2737	10002341508	909.654	888.531	21.123	-0.158	0.1077	
YHL043W	0.001819	2360	10002916837	708.840	708.307	0.532	0.006383	0.07969	
YBL060W	0.00546	9208	10000731216	3162.043	3132.162	29.882	-0.1864	1.885	
YOR335C	0.4579	7915	10001303332	4724.014	4152.993	571.021	-0.7979	1.325	
YOR228C	0.03193	4703	10000290795	1295.616	1291.096	4.520	-0.05959	0.3685	
YJR119C	0.002466	10172	10000063487	3435.404	3350.768	84.636	-0.1536	2.135	
YJR120W	0.02325	1853	10005072159	480.098	479.638	0.460	-0.004516	0.05962	
YHL044W	0.007052	3406	10001472905	984.658	989.413	-4.754	0.01252	0.1666	
YHL046C	0.06811	2007	10000118041	494.558	492.430	2.128	-0.02423	0.0385	
YLR351C	0.145	4011	10000118227	1253.146	1214.197	38.949	-0.1722	0.2068	
YNL054W	0.0179	16287	10000033012	6073.828	5644.525	429.303	-0.5565	5.298	
YOR229W	0.05778	6577	10001244938	2048.161	2021.890	26.271	-0.2016	0.6421	
YDR074W	0.05416	11628	10000181740	4368.971	4068.507	300.464	-0.6466	2.656	
YNL055C	1.597	2725	10002631743	1201.464	1162.156	39.309	-0.2264	0.1419	
YNL056W	0.1135	2634	10004825303	826.274	817.452	8.822	-0.05894	0.1009	
YDR075W	0.01165	4410	10004737546	1310.817	1308.673	2.145	-0.05149	0.2634	
YDL206W	0.00241	11622	10000671789	3623.319	3622.845	0.474	-0.03888	3.045	
YOR230W	0.6063	4289	10001207573	1902.285	1822.127	80.157	-0.3722	0.3382	
YBL061C	0.06041	9560	10000696424	3228.638	3071.054	157.584	-0.4124	1.198	
YJR121W	0.2895	6603	10000201002	2290.271	2157.043	133.228	-0.3675	0.4537	
YNL058C	0.07902	4665	10000683248	1352.883	1332.419	20.464	-0.1438	0.2443	
YDR076W	0.005195	5641	10002484684	1768.777	1767.146	1.632	-0.06021	0.5715	
YDR077W	2.698	2541	10000730053	1453.901	1390.777	63.125	-0.3211	0.1845	
YDR078C	0.005275	2947	10003785270	938.760	934.261	4.499	-0.01805	0.1812	
YHL047C	0.02551	9620	10003535969	2912.804	2848.187	64.616	-0.2517	1.266	
YDR079W	0.07846	1517	10002575445	456.986	455.926	1.060	-0.02071	0.03026	
YOR231W	0.01404	7390	10002075067	2249.874	2242.865	7.010	-0.1156	0.7935	
YLR352W	0.005546	11536	10000204041	3895.405	3859.383	36.022	-0.1199	3.175	
YJR122W	0.01215	7475	10000519346	2218.222	2206.546	11.676	-0.04843	0.9711	
YDL207W	0.02244	7582	10000411060	2443.887	2378.428	65.459	-0.1691	0.886	
YOR232W	0.0862	3184	10004377306	960.118	948.756	11.362	-0.09755	0.1375	
YGR270W	0.0272	18168	10000368187	7514.776	6706.145	808.631	-1.002	6.692	
YJR123W	5.253	1103	10000762763	945.044	919.155	25.888	-0.195	0.06331	
YDL208W	0.7846	1815	10019182326	647.678	636.095	11.583	-0.1225	0.04395	
YHL048W	0.05643	4976	10000060450	1651.010	1614.324	36.686	-0.1575	0.3652	
YAR050W	0.00101	25802	10000136015	8908.227	8796.013	112.215	-0.4102	19.17	
YAR064W	0.00084	1416	10001569738	406.815	407.251	-0.436	-0.003784	0.04231	
YHL049C	0.006752	3926	10000139491	1157.173	1148.469	8.705	-0.06135	0.2865	
YDL209C	0.01859	4774	10001443773	1460.045	1452.383	7.662	-0.03498	0.3853	
YAR066W	0.00649	3251	10002790643	846.593	854.419	-7.826	0.04182	0.1398	
YAR068W	0.0178	2892	10002859432	678.461	672.908	5.552	-0.03461	0.1289	
YER172C	0.00364	31374	10000014418	14397.911	13234.523	1163.387	-0.9778	38.34	
YER110C	0.09339	14042	10000837061	5793.794	5062.096	731.698	-0.7996	2.837	
YNL059C	0.01981	10189	10000192645	3531.235	3425.861	105.374	-0.2918	1.842	
YJR124C	0.03694	6789	10000475175	1994.655	1942.679	51.976	-0.1685	0.6392	
YAR071W	0.8422	4212	10000524617	2053.082	1951.983	101.100	-0.3512	0.3196	
