ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YAL001C	0.008886	23621	20000805173	6089.711	5884.628	205.083	-0.3898	7.509	
YAL002W	0.003231	26221	20000148219	6926.439	6655.773	270.666	-0.3439	10.26	
YAL003W	4.073	1765	20023562797	866.444	841.379	25.065	-0.1462	0.04811	
YAL005C	1.19	5779	20017117127	2993.625	2706.636	286.989	-0.5543	0.5791	
YAL007C	0.09272	4490	20005621980	910.832	897.246	13.587	-0.07352	0.1584	
YAL008W	0.07363	4196	20003255807	832.746	823.986	8.760	-0.06967	0.1005	
YAL009W	0.02451	5453	20019412453	1110.154	1097.013	13.141	-0.05216	0.1913	
YAL010C	0.008606	10284	20000467087	2226.860	2220.763	6.097	0.004004	1.274	
YAL011W	0.01638	12188	20002715905	2912.247	2816.212	96.035	-0.1533	1.194	
YAL012W	1.262	4622	20003482748	1750.408	1634.437	115.971	-0.3145	0.2436	
YAL013W	0.06334	7627	20000655324	1875.558	1813.937	61.621	-0.1493	0.5786	
YAL014C	0.02744	5425	20000730150	1087.160	1090.702	-3.542	-0.0178	0.3748	
YAL015C	0.02572	8277	20004206609	1765.526	1743.167	22.359	-0.06594	0.6803	
YAL016W	0.2432	10406	20005291285	2991.319	2712.663	278.656	-0.5041	0.8875	
