ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YAL001C	0.008886	11994	20002392107	187200.353	15706.386	171493.967	-42.54	3345	
YAL002W	0.003231	17364	20001466119	425397.805	21339.759	404058.045	-60.15	8472	
YAL003W	4.073	414	20017744043	1301.983	967.952	334.031	-1.803	6.439	
YAL005C	1.19	1331	20046700842	16306.370	4322.121	11984.249	-10.23	163.7	
YAL007C	0.09272	3095	20005476329	1473.919	1071.249	402.670	-2.036	12.34	
YAL008W	0.07363	3021	20004809909	1369.112	988.943	380.169	-1.787	10.62	
YAL009W	0.02451	4262	20012688895	2020.380	1413.471	606.909	-2.928	27.29	
YAL010C	0.008606	8494	20001487472	7869.742	3724.439	4145.303	-7.57	266.1	
YAL011W	0.01638	7827	20006824810	12708.971	4817.694	7891.277	-12.17	330.1	
YAL012W	1.262	944	20004299731	4511.826	2139.574	2372.252	-4.519	34.7	
YAL013W	0.06334	4139	20001925019	5384.464	2539.234	2845.230	-6.256	74.11	
YAL014C	0.02744	4379	20001179616	2124.679	1406.224	718.455	-3.167	44.51	
YAL015C	0.02572	5963	20002690397	4948.273	2438.340	2509.933	-5.723	87.6	
YAL016W	0.2432	2253	20005818551	15244.083	4351.549	10892.534	-9.293	155.3	
YAL017W	0.009617	11972	20002792011	506824.881	21763.134	485061.746	-57.72	5502	
YAL018C	0.007849	6316	20001734408	3356.035	2106.754	1249.281	-3.102	91.84	
YAL019W	0.03881	5687	20011064838	143907.985	12745.831	131162.154	-30.79	1573	
YAL020C	0.0247	5421	20000954669	3352.576	1953.546	1399.030	-4.315	54.56	
YAL021C	0.0777	4092	20000590637	42893.807	7329.169	35564.638	-17.29	507.6	
YAL022C	0.09222	4005	20000664832	9113.981	3293.864	5820.117	-7.424	92.22	
YAL023C	0.3228	1875	20012423984	26031.983	6148.348	19883.635	-14.36	332.1	
YAL024C	0.002008	18564	20001061315	874535.494	32195.871	842339.623	-97.81	2.103e+04	
YAL025C	0.08824	2929	20013635458	2562.789	1654.537	908.253	-3.643	26	
YAL026C	0.003022	17793	20001891518	391212.732	25649.470	365563.263	-71.01	1.143e+04	
YAL027W	0.02962	4406	20005199848	2182.366	1381.160	801.206	-3.167	32.59	
YAL028W	0.00626	9287	20000923084	8822.947	4234.871	4588.076	-8.993	347.4	
YAL029C	0.0107	9388	20000319719	788762.418	27587.608	761174.809	-72.92	8376	
