ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YAL001C	0.008886	23739	20000184584	6195.183	6063.194	131.988	-0.09398	9.037	
YAL002W	0.003231	26647	20000305608	7051.584	6900.526	151.058	-0.09	12.49	
YAL003W	4.073	3657	20009370280	863.626	847.893	15.733	-0.1105	0.07757	
YAL005C	1.19	12198	20000519280	2980.192	2774.566	205.626	-0.451	0.9319	
YAL007C	0.09272	4435	20002295520	905.279	912.089	-6.810	0.01442	0.2223	
YAL008W	0.07363	4296	20001871729	839.954	831.307	8.646	-0.04538	0.1505	
YAL009W	0.02451	5425	20001774410	1104.951	1109.006	-4.054	0.02275	0.2327	
YAL010C	0.008606	10263	20002247706	2210.361	2224.784	-14.423	-0.006133	1.248	
YAL011W	0.01638	12572	20001245652	2894.459	2891.741	2.718	-0.003739	1.555	
YAL012W	1.262	8349	20000157006	1734.715	1669.441	65.275	-0.239	0.4535	
YAL013W	0.06334	7964	20001209776	1866.906	1843.079	23.827	-0.04573	0.7043	
YAL014C	0.02744	5443	20008221729	1091.373	1101.200	-9.827	0.05891	0.4411	
YAL015C	0.02572	8261	20002100546	1774.758	1738.729	36.028	-0.08931	0.6113	
YAL016W	0.2432	13364	20002190007	2959.184	2870.362	88.822	-0.2242	1.596	
YAL017W	0.009617	28255	20000668022	7419.300	7466.708	-47.407	-0.03129	12.37	
YAL018C	0.007849	6656	20001357753	1406.105	1401.061	5.045	0.01214	0.4219	
YAL019W	0.03881	22620	20000414492	5906.522	5748.410	158.112	-0.1739	6.749	
YAL020C	0.0247	7214	20001347635	1459.395	1444.565	14.830	0.008467	0.3984	
YAL021C	0.0777	16806	20000014449	4129.271	3971.995	157.275	-0.2034	3.349	
YAL022C	0.09222	10563	20003747189	2318.989	2324.784	-5.795	-0.03924	1.071	
YAL023C	0.3228	15234	20000123594	3627.912	3465.752	162.159	-0.3311	2.164	
YAL024C	0.002008	28813	20000147298	8286.259	8285.281	0.978	0.152	17.72	
YAL025C	0.08824	5693	20011206391	1321.914	1312.944	8.970	-0.01526	0.2546	
YAL026C	0.003022	28002	20000181591	7535.481	7393.681	141.800	-0.09983	11.9	
YAL027W	0.02962	5442	20011070905	1124.749	1113.250	11.499	-0.0006818	0.2169	
YAL028W	0.00626	11168	20002946263	2392.806	2371.103	21.703	-0.07068	1.349	
YAL029C	0.0107	29560	20000230810	8220.599	8358.525	-137.926	-0.04775	17.15	
YAL030W	0.2404	2604	20002079881	483.866	484.625	-0.759	-0.0109	0.03934	
YAL031C	0.01527	16268	20003494210	3687.393	3653.572	33.821	-0.04005	3.287	
YAL032C	0.005799	8088	20000732084	1672.451	1658.518	13.933	0.01118	0.4934	
YAL033W	0.07453	3576	20006493414	721.343	721.924	-0.581	0.001671	0.07258	
YAL034C	0.001526	8871	20000365357	1830.861	1819.176	11.684	-0.04326	0.7704	
YAL034WA	0.006985	5817	20001906481	1250.895	1240.311	10.585	-0.03948	0.3905	
YAL035W	0.2857	19684	20000140150	5139.524	4765.621	373.903	-0.5528	4.429	
YAL036C	0.3492	8319	20000841027	1610.371	1597.145	13.226	-0.07329	0.4744	
YAL037W	0.008014	5495	20009616144	1145.690	1142.304	3.386	-0.003996	0.299	
YAL038W	14.56	4754	20004083659	2235.388	2088.994	146.394	-0.4275	0.3642	
YAL039C	0.2378	5527	20001804760	1147.013	1147.179	-0.166	-0.03025	0.2488	
YAL040C	0.01916	12553	20001484040	2698.380	2651.428	46.953	-0.06444	1.869	
YAL041W	0.01412	17200	20000015034	4194.830	4111.000	83.830	-0.1354	3.516	
