ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YAL001C	0.008886	24020	20000994926	6163.979	6087.041	76.938	-0.0739	9.125	
YAL002W	0.003231	26748	20000665944	6990.645	6798.908	191.736	-0.165	11.46	
YAL003W	4.073	4192	20012056053	857.357	864.463	-7.106	-0.004457	0.1531	
YAL005C	1.19	14267	20001403329	2941.798	2964.759	-22.962	-0.0401	1.688	
YAL007C	0.09272	4562	20004938835	907.944	902.925	5.019	-0.02896	0.1544	
YAL008W	0.07363	4252	20011416356	832.491	831.799	0.691	-0.00772	0.1514	
YAL009W	0.02451	5520	20005658278	1100.496	1100.899	-0.403	-0.03185	0.2123	
YAL010C	0.008606	10286	20000503672	2199.448	2196.955	2.494	-0.07528	1.18	
YAL011W	0.01638	12312	20000380832	2906.341	2898.323	8.017	0.01465	1.66	
YAL012W	1.262	9314	20002429530	1743.247	1733.561	9.686	0.00451	0.6266	
YAL013W	0.06334	8006	20001065593	1863.337	1855.833	7.505	0.01343	0.7528	
YAL014C	0.02744	5438	20005713009	1103.037	1096.709	6.328	0.01166	0.3674	
YAL015C	0.02572	8196	20000654675	1772.434	1757.002	15.432	-0.04634	0.68	
YAL016W	0.2432	13739	20001203044	2981.500	2965.084	16.416	-0.01867	2.16	
YAL017W	0.009617	28029	20000662999	7537.190	7438.026	99.164	-0.0361	12.67	
YAL018C	0.007849	6663	20006317592	1410.578	1404.817	5.760	-0.005717	0.467	
YAL019W	0.03881	22655	20000760714	5916.462	5903.523	12.939	0.02924	8.004	
YAL020C	0.0247	7207	20001710063	1440.764	1442.768	-2.004	-0.03011	0.4464	
YAL021C	0.0777	16910	20000171244	4039.504	4055.412	-15.908	-0.02953	3.581	
YAL022C	0.09222	10866	20000748973	2344.310	2336.180	8.130	0.02161	1.098	
YAL023C	0.3228	15833	20000513854	3632.726	3597.140	35.585	-0.06817	2.694	
YAL024C	0.002008	28910	20000023861	8365.297	8080.108	285.189	-0.07827	16.11	
YAL025C	0.08824	5722	20000836301	1317.293	1315.370	1.923	0.0263	0.2458	
YAL026C	0.003022	28138	20001241556	7498.734	7483.986	14.748	0.02933	13.01	
