ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YAL001C	0.008886	24169	20000396230	4645.224	4645.290	-0.066	7.504e-05	4.593e-06	
YAL002W	0.003231	26543	20000841123	5101.538	5101.459	0.079	-0.0001037	5.718e-06	
YAL003W	4.073	4255	20001020843	828.033	828.037	-0.005	3.269e-05	1.292e-07	
YAL005C	1.19	14126	20000313050	2572.339	2572.345	-0.006	-6.122e-05	1.106e-06	
YAL007C	0.09272	4658	20009135382	864.039	864.042	-0.003	-9.905e-06	1.628e-07	
YAL008W	0.07363	4372	20000325333	796.041	796.032	0.009	-2.118e-05	1.079e-07	
YAL009W	0.02451	5444	20003383431	1040.064	1040.059	0.006	-3.453e-05	1.892e-07	
YAL010C	0.008606	10151	20002331954	1976.238	1976.235	0.003	1.363e-05	1.032e-06	
YAL011W	0.01638	12233	20000622037	2504.384	2504.362	0.022	2.584e-05	1.095e-06	
YAL012W	1.262	9017	20006511829	1580.119	1580.136	-0.017	-3.128e-05	4.65e-07	
YAL013W	0.06334	7889	20005924569	1684.160	1684.165	-0.005	-5.637e-07	5.877e-07	
YAL014C	0.02744	5424	20007678159	1024.062	1024.064	-0.002	-2.287e-05	3.116e-07	
YAL015C	0.02572	8338	20003069861	1600.156	1600.156	-0.000	-5.858e-06	5.608e-07	
YAL016W	0.2432	13781	20000443431	2544.395	2544.407	-0.012	4.163e-05	1.477e-06	
YAL017W	0.009617	28319	20000661927	5429.558	5429.597	-0.039	-4.569e-05	5.553e-06	
YAL018C	0.007849	6758	20002383801	1304.093	1304.099	-0.007	-1.723e-05	3.648e-07	
YAL019W	0.03881	22892	20000366949	4529.095	4529.126	-0.030	-2.16e-05	4.498e-06	
YAL020C	0.0247	7079	20002494669	1336.102	1336.112	-0.009	1.969e-05	3.479e-07	
YAL021C	0.0777	16989	20000436800	3352.628	3352.655	-0.027	3.865e-05	2.281e-06	
YAL022C	0.09222	10759	20000650152	2072.238	2072.264	-0.026	7.401e-05	1.024e-06	
YAL023C	0.3228	15880	20000766528	3040.512	3040.490	0.022	-7.598e-05	1.732e-06	
YAL024C	0.002008	28590	20001780660	5746.027	5746.000	0.027	9.249e-05	7.718e-06	
YAL025C	0.08824	5691	20001868350	1228.081	1228.083	-0.003	-2.123e-06	2.018e-07	
YAL026C	0.003022	27899	20001041830	5425.664	5425.639	0.025	-4.725e-05	5.81e-06	
YAL027W	0.02962	5545	20004289079	1048.064	1048.063	0.001	-1.939e-05	2.234e-07	
YAL028W	0.00626	11056	20002390853	2116.277	2116.275	0.002	5.406e-05	9.95e-07	
YAL029C	0.0107	29165	20000178850	5889.959	5889.934	0.025	-8.715e-05	7.207e-06	
YAL030W	0.2404	2480	20006973199	472.014	472.012	0.002	-3.341e-06	3.813e-08	
YAL031C	0.01527	16282	20000051454	3044.562	3044.592	-0.030	4.728e-05	2.29e-06	
YAL032C	0.005799	7958	20002012469	1520.118	1520.132	-0.014	-1.545e-05	3.958e-07	
YAL033W	0.07453	3488	20000354697	696.027	696.025	0.003	-2.105e-05	6.66e-08	
YAL034C	0.001526	8932	20000061126	1656.159	1656.173	-0.014	3.693e-05	6.589e-07	
YAL034WA	0.006985	5804	20004981428	1160.075	1160.078	-0.003	-3.44e-05	3.372e-07	
YAL035W	0.2857	20926	20001389108	4012.972	4013.010	-0.038	8.281e-05	3.905e-06	
YAL036C	0.3492	8223	20002593652	1480.133	1480.125	0.008	-1.313e-05	4.154e-07	
YAL037W	0.008014	5431	20003574736	1072.076	1072.072	0.004	-8.432e-06	2.662e-07	
YAL038W	14.56	11101	20002142145	2004.216	2004.194	0.022	-7.921e-05	5.749e-07	
YAL039C	0.2378	5329	20000481999	1080.065	1080.068	-0.004	-5.621e-06	2.256e-07	
YAL040C	0.01916	12651	20002047968	2324.339	2324.313	0.026	-2.351e-05	1.236e-06	
YAL041W	0.01412	17099	20001675750	3420.694	3420.641	0.053	-7.761e-05	2.357e-06	
YAL042W	0.4625	8645	20002111799	1664.162	1664.164	-0.002	3.823e-05	5.151e-07	
YAL043C	0.02276	16526	20000018464	3144.636	3144.625	0.010	9.135e-06	2.488e-06	
YAL044C	1.007	3686	20001216770	684.025	684.028	-0.003	8.44e-06	8.713e-08	
YAL046C	0.06163	2511	20001635620	476.014	476.019	-0.005	7.206e-05	6.808e-08	
YAL047C	0.006219	11952	20000030680	2492.370	2492.381	-0.011	7.561e-07	1.699e-06	
