ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YAL001C	0.008886	23439	20002599803	6087.538	5843.566	243.972	-0.4215	7.556	
YAL002W	0.003231	26427	20001364527	7007.871	6787.909	219.962	-0.2206	11.23	
YAL003W	4.073	1696	20010995419	855.897	841.556	14.341	-0.1452	0.0494	
YAL005C	1.19	5614	20001007857	2956.532	2706.039	250.493	-0.5585	0.602	
YAL007C	0.09272	4466	20000749144	910.234	895.395	14.838	-0.08861	0.1478	
YAL008W	0.07363	4215	20000273183	833.836	824.976	8.860	-0.06635	0.1318	
YAL009W	0.02451	5410	20001750819	1111.562	1107.164	4.398	0.01188	0.2261	
YAL010C	0.008606	10272	20000928318	2218.227	2202.246	15.981	-0.01708	1.061	
YAL011W	0.01638	12094	20001742184	2868.469	2858.224	10.245	-0.1335	1.634	
YAL012W	1.262	4730	20001659413	1725.961	1633.915	92.047	-0.3066	0.2059	
YAL013W	0.06334	7542	20009927151	1859.690	1802.307	57.383	-0.2016	0.4779	
YAL014C	0.02744	5336	20004491871	1102.236	1088.625	13.611	-0.03469	0.3764	
YAL015C	0.02572	8162	20001830657	1773.056	1734.140	38.916	-0.09991	0.6154	
YAL016W	0.2432	10339	20000353009	2960.400	2717.891	242.509	-0.5303	1.034	
YAL017W	0.009617	27369	20000367518	7327.620	7023.099	304.521	-0.5031	9.681	
YAL018C	0.007849	6659	20005676381	1408.878	1410.908	-2.030	0.02386	0.4537	
YAL019W	0.03881	20913	20000181308	5911.980	5312.964	599.017	-0.7103	4.188	
YAL020C	0.0247	7159	20000391177	1452.157	1438.850	13.306	-0.03375	0.3647	
YAL021C	0.0777	14720	20000766144	4111.155	3741.739	369.416	-0.6034	2.101	
YAL022C	0.09222	9989	20000720106	2316.872	2228.518	88.355	-0.3251	0.7337	
YAL023C	0.3228	10262	20001767256	3640.346	3271.541	368.805	-0.6507	1.097	
YAL024C	0.002008	28732	20000342936	8279.361	7906.549	372.812	-0.3304	14.84	
YAL025C	0.08824	5451	20000186924	1322.270	1294.695	27.575	-0.09274	0.2121	
YAL026C	0.003022	28295	20000099711	7450.782	7301.517	149.265	-0.241	11.7	
YAL027W	0.02962	5440	20007143375	1116.982	1118.928	-1.946	0.01014	0.2865	
YAL028W	0.00626	11043	20001974402	2372.987	2380.079	-7.091	-0.1006	1.5	
YAL029C	0.0107	28795	20002153350	8518.892	7662.982	855.910	-0.7043	10.98	
YAL030W	0.2404	2555	20003879934	485.425	481.532	3.893	-0.04043	0.03121	
YAL031C	0.01527	16080	20001019933	3678.042	3558.444	119.598	-0.2576	2.668	
YAL032C	0.005799	7976	20003795776	1659.702	1665.794	-6.092	0.02802	0.5439	
YAL033W	0.07453	3371	20008776791	722.215	716.746	5.469	-0.06007	0.06832	
YAL034C	0.001526	8861	20000155629	1833.972	1830.682	3.289	0.01167	0.8157	
YAL034WA	0.006985	5809	20011859154	1237.783	1251.939	-14.156	0.02488	0.3825	
YAL035W	0.2857	12246	20001423100	5128.292	4389.552	738.740	-0.9792	2.144	
YAL036C	0.3492	6230	20000529684	1623.843	1542.596	81.247	-0.2747	0.2979	
