ORF	phi	Evolve Steps	Evolve Time	Eta_initial	Eta_final	Final \Delta Eta	Mean Mutation \Delta Eta	Var Mutation \Delta Eta	# Fix
YAL001C	0.008886	23694	20001134399	6258.907	5970.842	288.065	-0.3109	7.355	
YAL002W	0.003231	26318	20001842578	6991.809	6954.000	37.809	-0.1365	12.35	
YAL003W	4.073	1626	20008233672	921.989	899.189	22.800	-0.1665	0.05664	
YAL005C	1.19	5637	20009314693	3072.021	2767.180	304.841	-0.5717	0.5924	
YAL007C	0.09272	4498	20001033795	962.766	958.588	4.178	-0.08649	0.1853	
YAL008W	0.07363	4154	20002462740	893.362	888.295	5.067	-0.06358	0.1444	
YAL009W	0.02451	5472	20001060873	1171.816	1170.166	1.650	-0.01023	0.2435	
YAL010C	0.008606	10175	20003624869	2321.397	2257.042	64.354	-0.07629	1.152	
YAL011W	0.01638	12141	20000561822	3006.904	2948.851	58.053	-0.1062	1.7	
YAL012W	1.262	4450	20000760411	1798.116	1693.253	104.863	-0.3342	0.2442	
YAL013W	0.06334	7611	20005085652	1936.467	1868.622	67.845	-0.2424	0.6293	
YAL014C	0.02744	5484	20010656434	1161.818	1144.876	16.943	-0.06727	0.3557	
YAL015C	0.02572	8411	20001965577	1838.621	1801.868	36.753	-0.1047	0.7444	
YAL016W	0.2432	10201	20003932715	3086.600	2778.133	308.466	-0.5272	0.9932	
YAL017W	0.009617	27636	20000272843	7610.509	7152.807	457.702	-0.4206	9.175	
YAL018C	0.007849	6589	20001127852	1474.538	1464.701	9.836	-0.04533	0.5095	
YAL019W	0.03881	20647	20001169769	6027.601	5385.663	641.937	-0.6531	4.108	
YAL020C	0.0247	7115	20003657609	1516.089	1491.954	24.135	-0.08705	0.3661	
YAL021C	0.0777	14590	20000530029	4223.219	3822.037	401.182	-0.6089	2.155	
YAL022C	0.09222	9855	20002765371	2404.224	2288.245	115.980	-0.337	0.7501	
YAL023C	0.3228	10042	20000800462	3741.958	3333.862	408.096	-0.6647	1.116	
